Kecamatan,Desa,Balita,Anak-Anak,Remaja Awal,Remaja Akhir,Dewasa Awal,Dewasa Akhir,Lansia Awal,Lansia Akhir,Manula Atas,Jumlah KK, Laki-Laki, Perempuan
 Modung,Kolla,188,228,507,248,476,504,397,280,210,863,1471,1567
 Modung,Neroh,81,77,206,128,258,181,171,132,122,369,649,707
 Modung,Langpanggang,143,123,252,166,267,196,181,159,147,490,825,809
 Modung,Patengteng,368,437,976,598,1098,949,606,630,752,1870,3075,3339
 Modung,Srabi Barat,207,249,542,310,509,449,374,248,301,916,1531,1658
 Modung,Srabi Timur,180,193,468,297,564,469,332,244,200,808,1436,1511
 Modung,Pangpajung,201,202,415,238,391,323,312,249,218,752,1255,1294
 Modung,Karang Anyar,145,177,389,207,396,351,257,268,287,783,1170,1307
 Modung,Alas Kokon,231,334,672,360,637,462,342,223,213,878,1750,1724
 Modung,Pakong,220,296,647,309,538,451,325,200,200,776,1571,1615
 Modung,Glisgis,91,114,266,154,270,272,203,160,140,439,783,887
 Modung,Brakas Dajah,66,101,213,108,284,191,170,243,228,562,714,890
 Modung,Modung,78,89,213,119,188,181,166,141,141,435,620,696
 Modung,Suwa'an,110,172,416,276,493,398,276,306,301,812,1335,1413
 Modung,Mangga'an,225,257,482,378,607,531,472,363,240,988,1724,1831
 Blega,Blega,445,652,1380,644,1150,1305,1040,785,431,2313,3879,3953
 Blega,Rosep,168,214,405,229,425,469,317,233,174,758,1298,1336
 Blega,Nyormanis,210,292,529,297,581,485,343,329,190,931,1665,1591
 Blega,Alas Rajah,398,500,1065,571,1173,893,656,501,453,1620,3087,3123
 Blega,Blega Oloh,115,143,301,160,311,263,161,145,108,509,828,879
 Blega,Karang Nangkah,168,271,573,312,602,436,312,252,196,865,1563,1559
 Blega,Karang Panasan,122,168,370,168,292,345,270,144,98,586,969,1008
 Blega,Karang Gayam,232,329,538,302,585,471,383,281,277,984,1674,1724
 Blega,Lomaer,223,324,666,318,554,541,377,271,251,983,1758,1767
 Blega,Bates,257,374,734,375,728,583,428,310,250,1198,2007,2032
 Blega,Lombang Laok,90,163,322,171,370,315,203,159,178,548,992,979
 Blega,Lombang Dajah,257,361,718,415,799,700,391,371,377,1300,2164,2225
 Blega,Karpote,211,276,575,304,663,537,394,303,251,972,1765,1749
 Blega,Kajjan,172,270,527,343,600,492,397,299,210,962,1600,1710
 Blega,Panjalinan,128,154,305,163,315,289,173,150,114,491,932,859
 Blega,Pangeran Geddungan,103,133,311,144,254,267,179,144,119,471,840,814
 Blega,Kampao,93,116,163,102,235,178,121,84,82,362,584,590
 Blega,Ko'olan,49,51,117,71,143,127,93,78,101,219,408,422
 Blega,Gigir,154,204,463,248,611,408,298,269,329,796,1462,1522
 Konang,Bandung,285,394,790,452,828,659,450,318,332,1275,2220,2288
 Konang,Konang,260,412,944,538,1058,822,571,474,336,1478,2691,2724
 Konang,Genteng,393,607,1447,1005,1749,912,753,654,465,2156,3928,4057
 Konang,Pakes,226,338,749,496,807,516,364,333,221,1124,2047,2003
 Konang,Cangkareman,220,297,633,435,778,465,311,281,225,925,1852,1793
 Konang,Sen Asen,206,310,701,407,661,527,357,278,270,993,1901,1816
 Konang,Sambiyan,221,296,676,385,670,477,380,283,337,993,1859,1866
 Konang,Campor,126,176,368,224,378,324,233,161,129,599,1046,1073
 Konang,Galis Dajah,165,221,517,330,598,354,244,204,191,738,1389,1435
 Konang,Kanegarah,72,148,324,225,381,280,206,152,105,511,965,928
 Konang,Durin Barat,169,363,959,532,1030,698,496,341,196,1263,2342,2442
 Konang,Durin Timur,193,389,1172,658,934,762,494,338,239,1417,2577,2602
 Konang,Batokaban,398,493,1170,770,1225,940,737,572,338,1906,3284,3359
 Galis,Bangpendah,86,119,293,134,309,276,193,163,102,483,826,849
 Galis,Banjar,299,457,1009,622,1224,1071,766,522,416,1762,3157,3229
 Galis,Banyu Bunih,523,881,1681,986,1990,1631,1159,876,616,2842,5160,5183
 Galis,Belateran,100,108,276,165,314,207,170,175,79,473,812,782
 Galis,Daleman,272,407,848,575,893,660,498,435,375,1287,2474,2489
 Galis,Galis ,215,348,702,398,694,595,430,324,224,1033,1980,1950
 Galis,Kajuanak,196,275,656,380,861,572,384,315,453,1108,2004,2088
 Galis,Kelbung,344,586,1605,1074,1760,1077,935,647,457,2295,4263,4222
 Galis,Kranggan timur,138,158,383,190,399,299,215,185,128,518,1058,1037
 Galis,Lantek barat,193,331,675,374,775,694,592,397,303,1270,2132,2202
 Galis,Lantek timur,195,343,712,419,769,791,530,443,364,1347,2220,2346
 Galis,Longkek,278,440,844,414,874,792,522,420,361,1399,2409,2486
 Galis,Paka'an dajah,167,198,442,220,402,381,296,234,191,679,1237,1294
 Galis,Paka'an laok,207,308,665,391,665,520,336,315,295,870,1818,1884
 Galis,Paterongan,226,417,881,540,876,755,569,398,284,1310,2405,2541
 Galis,Pakadan,283,297,683,435,837,701,511,387,398,1184,2256,2276
 Galis,Sadah,154,320,588,366,646,651,426,344,226,1054,1839,1882
 Galis,Separah,135,211,442,228,474,437,307,212,246,638,1322,1370
 Galis,Sorpa,62,106,212,137,266,209,159,116,128,362,685,710
 Galis,Telagah,290,466,1046,634,1106,789,608,442,255,1557,2853,2783
 Galis,Tellok,237,330,645,418,809,537,474,383,294,1269,2013,2114
 Tanah Merah,Tanah Merah Dajah,289,387,770,411,774,797,574,372,295,1296,2337,2332
 Tanah Merah,Tanah Merah Laok,406,588,1135,608,1202,996,769,481,420,1770,3252,3353
 Tanah Merah,Petrah,192,276,553,280,558,580,388,311,250,982,1642,1746
 Tanah Merah,Jangkar,239,406,877,498,947,949,659,503,348,1500,2695,2731
 Tanah Merah,Pettong,185,232,462,289,538,464,420,240,181,801,1492,1519
 Tanah Merah,Kendaban,73,100,187,91,188,230,150,104,69,346,569,623
 Tanah Merah,Dumajah,309,453,866,441,852,695,513,397,358,1344,2361,2523
 Tanah Merah,Pacentan,255,370,730,383,719,629,400,321,359,1079,2062,2104
 Tanah Merah,Baipajung,262,453,1045,482,944,811,653,465,418,1469,2696,2837
 Tanah Merah,Tlamor,102,180,406,232,472,416,304,273,230,640,1305,1310
 Tanah Merah,Rongdurin,119,138,285,204,322,300,268,173,164,595,952,1021
 Tanah Merah,Landak,87,165,324,171,344,298,204,163,106,528,956,906
 Tanah Merah,Basanai,59,61,134,69,148,130,94,59,51,227,411,394
 Tanah Merah,Poter,198,261,565,272,590,484,371,232,165,883,1528,1610
 Tanah Merah,Patemon,50,76,157,67,156,142,99,60,47,247,437,417
 Tanah Merah,Dlambah Dajah,218,341,794,449,813,494,431,390,292,1112,2075,2147
 Tanah Merah,Dlambah Laok,82,148,322,160,292,291,236,168,102,490,910,891
 Tanah Merah,Mrecah,149,209,439,258,537,426,295,246,161,741,1329,1391
 Tanah Merah,Buddan,192,270,571,317,665,443,361,260,227,937,1634,1672
 Tanah Merah,Batangan,296,456,957,579,981,715,592,345,322,1371,2569,2674
 Tanah Merah,Padurungan,125,147,282,175,337,277,225,135,121,479,910,914
 Tanah Merah,Pangeleyan,50,70,110,57,108,116,64,49,29,181,315,338
 Tanah Merah,Kranggan Barat,136,185,401,200,477,478,300,229,163,660,1272,1297
 Tragah,Soket Laok,202,326,628,406,663,550,500,340,300,1118,1945,1970
 Tragah,Soket Dajah,103,135,297,137,291,251,184,150,116,489,846,818
 Tragah,Pamorah,176,269,488,255,564,448,341,256,203,828,1515,1485
 Tragah,Banyu Besih,141,178,381,204,355,293,228,149,133,567,1044,1018
 Tragah,Pocong,55,92,158,82,150,162,102,85,61,273,449,498
 Tragah,Tragah,45,75,161,84,185,124,106,81,57,267,467,451
 Tragah,Karang Leman,72,102,190,85,200,174,118,107,68,329,553,563
 Tragah,Duko Tambin,27,44,61,36,81,60,41,21,32,127,200,203
 Tragah,Keteleng,73,111,232,115,216,195,166,96,117,388,663,658
 Tragah,Alang-alang,163,217,415,241,489,398,300,255,198,840,1279,1397
 Tragah,Kemoneng,104,178,345,159,355,270,261,211,147,560,968,1062
 Tragah,Tambin,100,178,378,195,405,307,265,199,190,692,1076,1141
 Tragah,Bajeman,247,237,623,318,584,502,394,387,373,1031,1762,1903
 Tragah,Jaddung,83,87,177,102,175,155,97,59,57,292,493,499
 Tragah,Pacangan,58,73,127,74,150,125,90,64,72,266,404,429
 Tragah,Bancang,56,60,132,85,142,146,89,73,84,252,428,439
 Tragah,Jaah,85,104,216,106,223,182,138,113,116,373,638,645
 Tragah,Masaran,101,130,233,108,271,203,150,94,112,422,692,710
 Socah,Socah,362,507,1015,511,839,989,931,674,441,1915,3117,3152
 Socah,Keleyan,577,751,1287,676,1314,1313,1141,986,582,2535,4223,4404
 Socah,Bilaporah,397,536,1040,561,929,937,930,702,489,1959,3207,3314
 Socah,Parseh,532,780,1536,787,1502,1306,994,664,522,2421,4310,4313
 Socah,Jaddih,648,1051,1136,948,1996,1908,1593,1255,952,3539,6054,6351
 Socah,Buluh,271,372,768,356,669,747,668,523,383,1401,2315,2442
 Socah,Junganyar,218,299,573,315,561,537,432,285,135,983,1681,1674
 Socah,Dakiring,201,275,498,239,443,438,386,297,145,826,1449,1473
 Socah,Petaonan,260,304,548,273,576,641,547,359,255,1063,1817,1946
 Socah,Pernajuh,91,95,165,98,167,187,135,107,61,337,549,557
 Socah,Sanggra Agung,338,518,1181,577,1084,1002,731,542,443,1745,3176,3240
 Bangkalan,Mlajah,934,1108,1919,807,1643,1892,1274,847,339,3023,5265,5498
 Bangkalan,Kemayoran,524,706,1255,586,1076,1144,893,613,372,2084,3511,3658
 Bangkalan,Pangeranan,752,924,1766,876,1725,1581,1362,1055,584,321,5218,5407
 Bangkalan,Demangan,528,643,1128,516,1106,1130,878,699,474,218,3508,3594
 Bangkalan,Kraton,609,794,1518,718,1366,1509,1164,891,501,274,4379,4691
 Bangkalan,Pejagan,1333,165,3210,1478,2985,2918,2229,1680,1033,5564,9193,9323
 Bangkalan,Bancaran,829,1018,1850,998,1866,1760,1452,991,545,332,5652,5657
 Bangkalan,Sembilangan,85,103,189,113,191,159,157,123,85,374,579,626
 Bangkalan,Ujung Piring,154,184,295,135,315,269,190,172,100,547,919,895
 Bangkalan,Keramat,199,287,460,274,427,382,334,280,164,800,1382,1425
 Bangkalan,Martajasah,133,190,228,118,311,268,188,169,66,515,833,838
 Bangkalan,Sabiyan,235,256,412,229,486,444,350,242,159,832,1394,1419
 Bangkalan,Gebang,254,270,540,250,510,491,385,286,139,926,1567,1558
 Burneh,TUNJUNG,1024,132,2630,1371,2551,2421,1800,1259,711,429,7549,7538
 Burneh,BURNEH,760,976,1582,831,1631,1620,1238,907,521,2956,4986,5080
 Burneh,LANGKAP,557,748,1449,718,1283,1346,954,678,468,2349,4089,4112
 Burneh,ALAS KEMBANG,251,302,703,404,668,508,415,361,248,1020,1904,1956
 Burneh,BANANGKAH,455,631,1306,715,1518,1152,950,640,532,2341,3995,3904
 Burneh,AROK,41,64,120,59,123,129,92,56,38,208,360,362
 Burneh,KAPOR,126,168,326,158,365,350,271,194,125,602,1043,1040
 Burneh,SOBIH,169,243,409,212,510,445,336,259,176,830,1370,1389
 Burneh,PANGOLANGAN,180,268,544,287,535,472,406,300,250,911,1583,1659
 Burneh,BINOH,221,357,785,402,803,563,450,338,304,1045,2129,2094
 Burneh,PERRENG,155,221,476,269,461,381,300,261,299,848,1413,1410
 Burneh,JAMBU,188,282,520,262,465,474,358,261,184,806,1510,1484
 Arosbaya,AROSBAYA,423,475,1004,510,953,983,912,603,396,1897,3126,3133
 Arosbaya,TENGKET,394,581,1040,544,987,988,793,655,399,1924,3135,3246
 Arosbaya,LAJING,518,724,1367,710,1467,1415,1062,683,390,2322,4211,4125
 Arosbaya,BALUNG,116,159,318,180,276,303,231,214,133,562,901,1029
 Arosbaya,GLAGGA,233,395,758,411,798,694,530,415,296,1297,2236,2294
 Arosbaya,PANDAN LANJANG,58,74,211,118,216,204,126,86,106,330,589,610
 Arosbaya,BATONAONG,220,343,723,423,729,554,486,334,304,1089,2045,2071
 Arosbaya,OMBUL,108,178,490,221,466,423,328,221,187,688,1285,1337
 Arosbaya,KARANG DUWAK,136,188,424,216,417,432,282,218,209,734,1262,1260
 Arosbaya,BERBELUK,270,346,700,352,710,594,510,300,255,1126,2018,2019
 Arosbaya,BUDURAN,151,183,403,228,417,346,292,194,113,704,1208,1119
 Arosbaya,TAMBEGAN,88,109,167,95,214,168,134,87,59,352,584,537
 Arosbaya,CENDAGAH,18,18,45,22,49,27,22,17,15,65,113,120
 Arosbaya,MANGKON,28,37,51,29,74,47,45,32,23,116,175,191
 Arosbaya,KARANG PAO,51,53,91,39,127,84,59,41,31,181,287,289
 Arosbaya,MAKAM AGUNG,15,15,42,11,32,41,27,14,9,61,98,108
 Arosbaya,DLEMER,27,71,140,72,179,179,174,169,97,393,559,549
 Arosbaya,PLAKARAN,56,62,101,49,159,140,80,65,43,219,380,375
 Geger,KOMBANGAN,456,591,1200,591,1249,1192,941,657,526,2152,3717,3686
 Geger,BANYONENG LAOK,472,527,1073,708,1371,1306,822,722,498,2085,3722,3777
 Geger,KATOL BARAT,369,428,867,533,992,958,662,436,369,1600,2750,2864
 Geger,DABUNG,358,514,1104,648,1147,1097,751,539,401,1949,3257,3302
 Geger,LERPAK,609,763,1642,934,1858,1561,1211,808,547,2928,4962,4971
 Geger,GEGER,449,618,1324,780,1408,1303,844,764,592,2368,3977,4105
 Geger,TOGUBANG,436,534,1069,627,1225,968,611,624,602,2032,3225,3471
 Geger,BATOBELLA,267,366,811,454,897,791,561,488,459,1468,2510,2584
 Geger,KAMPAK,660,948,1794,1018,1775,1880,1173,940,592,3098,5395,5385
 Geger,CAMPOR,365,464,841,433,856,921,691,482,353,1700,2657,2749
 Geger,KOMPOL,241,346,619,322,656,638,484,293,242,1139,1903,1938
 Geger,TEGAR PRIYAH,154,174,357,221,376,361,213,196,164,607,1101,1115
 Geger,BANYONENG DAJAH,270,331,623,352,767,745,544,410,366,1311,2190,2218
 Kokop,DUPOK,375,516,1016,592,1137,982,790,546,406,1821,3142,3218
 Kokop,BANDA SOLEH,139,281,639,448,722,550,404,325,232,1015,1851,1889
 Kokop,BATOKOROGAN,116,166,318,198,289,336,228,154,187,650,990,1002
 Kokop,TRAMOK,280,491,1094,651,1008,846,656,406,342,1480,2863,2911
 Kokop,KATOL TIMUR,431,703,1387,681,1517,1084,749,493,414,1984,3638,3821
 Kokop,LEMBUNG GUNONG,158,296,530,310,651,496,311,265,237,870,1572,1682
 Kokop,AMPARA'AN,163,241,472,290,538,410,303,220,182,753,1400,1419
 Kokop,KOKOP,282,433,914,566,924,638,437,321,242,1149,2358,2399
 Kokop,TLOKOH,453,715,1687,1009,1410,977,727,511,339,1864,3945,3883
 Kokop,DURJAN,732,884,2150,1375,2004,1697,1206,691,448,3154,5526,5661
 Kokop,MANO'AN,366,602,1201,704,1223,819,591,433,256,1507,3107,3088
 Kokop,MANDUNG,585,744,1651,945,1295,927,679,491,418,1809,3916,3819
 Kokop,BANDANG LAOK,429,620,1140,690,1137,716,661,415,307,1586,3032,3083
 Tanjung Bumi,PASESEH,272,386,797,366,703,811,563,487,294,1390,2258,2421
 Tanjung Bumi,BUMIANYAR,244,296,575,305,479,587,445,285,195,1017,1704,1707
 Tanjung Bumi,TAMBAK POCOK,203,293,491,292,566,483,384,271,226,847,1573,1636
 Tanjung Bumi,LARANGAN TIMUR,232,391,808,385,855,709,549,386,302,1357,2338,2279
 Tanjung Bumi,BUNGKENG,92,140,411,237,285,267,243,183,160,597,982,1036
 Tanjung Bumi,BANDANG DAJA,195,306,727,476,827,668,528,374,279,1200,2171,2209
 Tanjung Bumi,TAGUNGGUH,233,458,787,450,884,882,614,506,317,1687,2530,2601
 Tanjung Bumi,PLANGGIRAN,212,405,745,416,835,824,554,428,268,1537,2308,2379
 Tanjung Bumi,AENG TABAR,83,176,334,186,352,362,238,187,109,609,991,1036
 Tanjung Bumi,BANYUSANGKA,224,322,692,306,585,646,536,415,183,1234,1893,2016
 Tanjung Bumi,TLANGOH,102,188,324,195,387,325,304,218,173,675,1092,1124
 Tanjung Bumi,MACAJAH,225,358,874,433,773,869,704,458,331,1560,2459,2566
 Tanjung Bumi,TANJUNG BUMI,330,621,1287,596,1078,1246,936,626,426,2289,3463,3683
 Tanjung Bumi,TELAGA BIRU,162,243,491,223,391,485,378,294,142,921,1365,1444
 Sepuluh,SEPULU,271,434,979,492,800,861,724,664,421,1711,2723,2923
 Sepuluh,MANERON,194,264,625,342,560,606,520,416,301,1113,1883,1945
 Sepuluh,GANGSEYAN,144,159,405,198,335,321,282,228,226,675,1119,1179
 Sepuluh,KLAPAYAN,211,325,738,356,755,683,451,391,393,1192,2087,2216
 Sepuluh,BANGSEREH,152,194,377,192,361,377,255,200,194,642,1122,1180
 Sepuluh,KELBUNG,346,502,1036,556,1138,1119,853,612,472,1916,3280,3354
 Sepuluh,SAPLASAH,90,159,342,189,418,354,246,179,189,570,1039,1127
 Sepuluh,GUNILAP,204,374,768,451,1020,807,584,414,317,1320,2493,2446
 Sepuluh,KALABETAN,126,249,454,246,486,587,342,277,253,846,1471,1549
 Sepuluh,BANYIOR,135,234,466,245,422,525,360,353,237,900,1429,1548
 Sepuluh,PRANCAK,169,262,599,372,513,604,484,431,262,1051,1824,1872
 Sepuluh,LABUHAN,62,89,193,106,191,173,151,136,67,330,567,601
 Sepuluh,TANAGURA BARAT,100,112,244,118,226,236,173,121,118,392,747,701
 Sepuluh,LEMBUNG PASESER,76,99,199,111,173,163,167,111,68,341,589,578
 Sepuluh,TANAGURA TIMUR,67,98,199,103,180,196,191,109,113,374,623,633
 Klampis,KLAMPIS BARAT,148,204,499,280,415,468,481,345,229,944,1532,1537
 Klampis,BULUK AGUNG,210,346,630,357,705,688,581,455,391,1304,2144,2219
 Klampis,MRANDUNG,114,154,374,168,277,340,322,215,209,646,1061,1112
 Klampis,TOBADDUNG,100,122,307,143,295,301,267,227,215,579,959,1018
 Klampis,TOLBUK,77,134,228,107,239,241,186,155,141,465,714,794
 Klampis,MOARAH,133,257,514,249,437,511,400,309,228,814,1482,1556
 Klampis,RA'AS,59,77,139,65,139,150,82,66,75,251,431,421
 Klampis,POLONGAN,58,89,163,82,151,150,125,87,89,296,479,515
 Klampis,KARANG ASEM,37,50,99,55,100,93,105,72,66,203,323,354
 Klampis,TROGAN,101,137,271,150,283,320,222,199,148,543,899,932
 Klampis,BULUNG,115,168,384,196,361,395,299,248,162,637,1158,1170
 Klampis,BANTEYAN,190,220,581,279,514,595,489,388,287,962,1708,1835
 Klampis,BRAGANG,196,332,620,367,656,679,529,503,442,1173,2116,2208
 Klampis,LER GUNONG,208,305,619,333,629,602,445,378,247,1154,1860,1906
 Klampis,PANYAKSAGAN,185,269,574,325,639,590,464,435,483,996,1911,2053
 Klampis,MANONGGAL,86,142,305,159,280,275,245,225,171,544,907,981
 Klampis,BATOR,273,371,747,358,680,793,588,466,331,1369,2252,2355
 Klampis,KLAMPIS TIMUR,97,120,287,167,258,328,284,183,179,571,920,983
 Klampis,TENGGUN DAJAH,261,373,759,431,735,740,488,370,370,1295,2242,2285
 Klampis,LARANGAN SORJAN,102,150,290,134,281,265,204,161,117,526,827,877
 Klampis,LARANGAN GLINTONG,137,221,462,232,360,467,320,297,248,804,1367,1377
 Klampis,KO'OL,136,177,335,171,345,312,297,210,143,616,1037,1089
